Number,jd,gaia_mag,a_orb,e_orb,i_orb,Delta,R,Phase,H,G,gaia_mag_red,V
617,2457737.8340397747,16.15478480625148,5.209408189899459,0.1398938710094166,22.062353006170355,5.746867409482,5.23829984786347,8.941,8.18,0.15,8.761677147533769,8.961803835033773
617,2457751.7631953917,16.07284630805537,5.209408189899459,0.1398938710094166,22.062353006170355,5.755727916891,5.081564178213402,7.7455,8.18,0.15,8.74235795391019,8.942484641410191
617,2457111.079843879,16.42212227741967,5.209408189899459,0.1398938710094166,22.062353006170355,5.188678111939,5.47910125613151,10.3818,8.18,0.15,9.153291998297052,9.35341868579705
617,2457292.519984878,16.22399034234169,5.209408189899459,0.1398938710094166,22.062353006170355,5.375025127286,5.59449918580834,10.3346,8.18,0.15,8.833281773234244,9.033408460734245
617,2457323.5025471607,15.986972802364571,5.209408189899459,0.1398938710094166,22.062353006170355,5.405486234645998,5.160189001386518,10.5725,8.18,0.15,8.759470929953887,8.959597617453886
617,2457665.387567501,16.377154320913384,5.209408189899459,0.1398938710094166,22.062353006170355,5.6977245129690015,6.21551503243487,8.3522,8.18,0.15,8.631261479591847,8.831388167091848
617,2457862.491497221,15.898472802078171,5.209408189899459,0.1398938710094166,22.062353006170355,5.819104437663,5.4992641653953305,9.7561,8.18,0.15,8.37266913268056,8.572795820180561
617,2457653.382100933,16.015101601827386,5.209408189899459,0.1398938710094166,22.062353006170355,5.689097734513,6.34304155797447,7.382999999999999,8.18,0.15,8.228396844408053,8.428523531908054
617,2457894.7221240792,16.60221647960922,5.209408189899459,0.1398938710094166,22.062353006170355,5.835129162694,5.98644570840181,9.8173,8.18,0.15,8.886118869828119,9.08624555732812
617,2457130.5089728767,15.969317023782857,5.209408189899459,0.1398938710094166,22.062353006170355,5.209097122062,5.759247978107541,8.9118,8.18,0.15,8.583675857219406,8.783802544719407
617,2457842.492000905,16.332248312374073,5.209408189899459,0.1398938710094166,22.062353006170355,5.808603907709,5.2239756876782,8.5443,8.18,0.15,8.92188376363902,9.122010451139019
617,2457078.5249234103,15.646445249376464,5.209408189899459,0.1398938710094166,22.062353006170355,5.1543343154570005,4.9481195900726,11.107,8.18,0.15,8.613381392502456,8.813508080002457
617,2457894.6478978973,16.481445488195913,5.209408189899459,0.1398938710094166,22.062353006170355,5.835093539551999,5.98534181211936,9.8196,8.18,0.15,8.765761590047944,8.965888277547945
617,2457513.801597653,16.196049965840174,5.209408189899459,0.1398938710094166,22.062353006170355,5.5793745747,5.9341466478675695,9.5202,8.18,0.15,8.596330997598328,8.796457685098328
617,2457842.417995845,16.242112304949345,5.209408189899459,0.1398938710094166,22.062353006170355,5.8085642655130005,5.22304998624457,8.5383,8.18,0.15,8.832147400381158,9.03227408788116
617,2457665.3135604267,16.380952027013947,5.209408189899459,0.1398938710094166,22.062353006170355,5.697671746117001,6.2163619922307305,8.3467,8.18,0.15,8.634783419425592,8.83491010692559
617,2457111.005833642,15.968199727349253,5.209408189899459,0.1398938710094166,22.062353006170355,5.188600203349,5.47795741039114,10.3861,8.18,0.15,8.699855428601854,8.899982116101855
617,2457862.4174915715,15.970682393235547,5.209408189899459,0.1398938710094166,22.062353006170355,5.819066364709,5.498174792792032,9.7533,8.18,0.15,8.44532313009559,8.645449817595592
624,2457836.0416673883,15.358411666139345,5.269920395221747,0.02288098604532272,18.15494648389696,5.294606287751,5.473177258924579,10.5541,7.45,0.15,8.04804574180676,8.248172429306763
624,2456885.7221326493,15.151962413830693,5.269920395221747,0.02288098604532272,18.15494648389696,5.14130882473,5.79856744619208,8.2316,7.45,0.15,7.779990390835687,7.980117078335687
624,2456886.2224610383,15.004042037625851,5.269920395221747,0.02288098604532272,18.15494648389696,5.141359158649,5.80400278301812,8.1784,7.45,0.15,7.630014260934322,7.83014094843432
624,2457405.54534384,15.020976933993992,5.269920395221747,0.02288098604532272,18.15494648389696,5.217168913488,5.8087319902995,8.3195,7.45,0.15,7.613395749746068,7.813522437246068
624,2457586.039976265,14.55249744787518,5.269920395221747,0.02288098604532272,18.15494648389696,5.249874827467,4.5233383314967694,8.533999999999999,7.45,0.15,7.674457340430164,7.8745840279301635
624,2457836.115278051,15.639642613502815,5.269920395221747,0.02288098604532272,18.15494648389696,5.294618908378,5.472105981805838,10.5575,7.45,0.15,8.32969658179927,8.529823269299271
624,2457405.721503384,15.185837565561442,5.269920395221747,0.02288098604532272,18.15494648389696,5.217200192726,5.8067562207404,8.3365,7.45,0.15,7.778982087992749,7.979108775492746
624,2457073.9108434287,14.650394587643133,5.269920395221747,0.02288098604532272,18.15494648389696,5.163878762265,4.78229268644489,10.6556,7.45,0.15,7.6873336393035805,7.887460326803581
624,2457493.5028561284,14.686008075602992,5.269920395221747,0.02288098604532272,18.15494648389696,5.232984698684,4.59314354321898,9.1909,7.45,0.15,7.7817106611085824,7.981837348608582
624,2457418.726909945,15.103026169324465,5.269920395221747,0.02288098604532272,18.15494648389696,5.219514652579,5.64934180406755,9.4787,7.45,0.15,7.75488630480483,7.95501299230483
624,2457493.7530273967,15.20281047225015,5.269920395221747,0.02288098604532272,18.15494648389696,5.233030133517,4.590204322571751,9.1664,7.45,0.15,8.299884206435523,8.500010893935523
624,2457688.7531355117,15.254950855204433,5.269920395221747,0.02288098604532272,18.15494648389696,5.268582745681,5.919769213879548,7.841,7.45,0.15,7.784957949984323,7.985084637484323
624,2457418.8008683207,15.074827240707144,5.269920395221747,0.02288098604532272,18.15494648389696,5.219527842755,5.64838642241979,9.4845,7.45,0.15,7.72704914569232,7.927175833192319
624,2457493.428846317,15.02399310600707,5.269920395221747,0.02288098604532272,18.15494648389696,5.232971257769,4.59401505731754,9.1982,7.45,0.15,8.119289287632506,8.319415975132507
624,2457585.9659089404,15.025083628577304,5.269920395221747,0.02288098604532272,18.15494648389696,5.249861278232,4.52255386921092,8.5257,7.45,0.15,8.147425746806336,8.347552434306337
624,2456886.2964679515,15.524825213149846,5.269920395221747,0.02288098604532272,18.15494648389696,5.141366608571,5.804803635817009,8.1705,7.45,0.15,8.150494684693335,8.350621372193336
624,2457073.7346827867,14.970069521794453,5.269920395221747,0.02288098604532272,18.15494648389696,5.163854480693,4.784878703342581,10.6648,7.45,0.15,8.005844881402181,8.205971568902182
624,2457231.498339346,15.072598465780478,5.269920395221747,0.02288098604532272,18.15494648389696,5.187543008664,5.08795193006093,11.404000000000002,7.45,0.15,7.965074916285433,8.165201603785432
624,2457680.1738770152,15.53512160912454,5.269920395221747,0.02288098604532272,18.15494648389696,5.2670308774370005,5.82333431567933,8.6769,7.45,0.15,8.101433669637014,8.301560357137015
624,2457231.424327773,15.198117695179558,5.269920395221747,0.02288098604532272,18.15494648389696,5.187531083709,5.08683799039651,11.4042,7.45,0.15,8.091074604564913,8.291201292064915
624,2457493.6790189683,14.886938623460539,5.269920395221747,0.02288098604532272,18.15494648389696,5.233016692284,4.59107275431555,9.1737,7.45,0.15,7.983607147955383,8.183733835455381
624,2456885.9722968983,15.097413400548739,5.269920395221747,0.02288098604532272,18.15494648389696,5.14133398478,5.801289708860401,8.2051,7.45,0.15,7.724411545658213,7.92453823315821
624,2456885.471968346,15.245209632570198,5.269920395221747,0.02288098604532272,18.15494648389696,5.141283678508,5.7958360239890006,8.2581,7.45,0.15,7.874271345998322,8.074398033498321
624,2456885.79613959,15.20958333473057,5.269920395221747,0.02288098604532272,18.15494648389696,5.141316266473,5.79937373771812,8.2238,7.45,0.15,7.837306246140412,8.03743293364041
624,2457022.249650412,15.545382720581898,5.269920395221747,0.02288098604532272,18.15494648389696,5.156995456726,5.556987001115919,9.7494,7.45,0.15,8.259202072165897,8.459328759665897
624,2457688.679125153,15.220606551271,5.269920395221747,0.02288098604532272,18.15494648389696,5.268569370333,5.91898322421903,7.8486,7.45,0.15,7.750907492341469,7.951034179841466
624,2457680.423954713,14.930357815387225,5.269920395221747,0.02288098604532272,18.15494648389696,5.267076152067,5.82629141395446,8.6537,7.45,0.15,7.495548813108858,7.695675500608858
884,2457273.27874704,16.550084862361572,5.198112546186912,0.1254274302668689,8.905546827325173,5.8115359715,6.27832146550243,8.5794,8.69,0.15,8.739412466524348,8.939539154024349
884,2457671.578392696,16.799668341863793,5.198112546186912,0.1254274302668689,8.905546827325173,5.728099251131001,6.09468313825161,9.1145,8.69,0.15,9.08486001165069,9.284986699150693
884,2457836.899912572,16.63459728662572,5.198112546186912,0.1254274302668689,8.905546827325173,5.646332027967,5.04062881409467,8.6338,8.69,0.15,9.363341633711231,9.56346832121123
884,2457655.573624893,16.348484154391347,5.198112546186912,0.1254274302668689,8.905546827325173,5.734615382044,6.32190069190206,7.8522,8.69,0.15,8.5517243309217,8.751851018421702
884,2457456.879296425,17.209342937848998,5.198112546186912,0.1254274302668689,8.905546827325173,5.793789468852,5.35412680706645,9.2705,8.69,0.15,9.751086123715114,9.951212811215116
884,2457836.97386423,16.764691116378017,5.198112546186912,0.1254274302668689,8.905546827325173,5.646289748358999,5.0415887756594016,8.6415,8.69,0.15,9.493038217198428,9.693164904698431
884,2457655.397474175,16.983496128394474,5.198112546186912,0.1254274302668689,8.905546827325173,5.734685683354,6.324208112607652,7.836,8.69,0.15,9.18591726702166,9.386043954521659
884,2457325.3384775226,16.982220970776037,5.198112546186912,0.1254274302668689,8.905546827325173,5.810172457486,5.46233694854168,9.5813,8.69,0.15,9.47438342211358,9.67451010961358
884,2457456.805346117,16.923437914424493,5.198112546186912,0.1254274302668689,8.905546827325173,5.793803848352,5.3530183693913225,9.2656,8.69,0.15,9.465625306402377,9.665751993902381
884,2457484.045866249,17.00515689371685,5.198112546186912,0.1254274302668689,8.905546827325173,5.788117178317,5.7830051846247015,10.0128,8.69,0.15,9.381702412067352,9.58182909956735
884,2457273.1026554643,16.828552765498586,5.198112546186912,0.1254274302668689,8.905546827325173,5.811535642230999,6.28075903363219,8.5662,8.69,0.15,9.017037578753325,9.217164266253326
884,2457671.6524036624,16.78633691320497,5.198112546186912,0.1254274302668689,8.905546827325173,5.728068528672,6.09356039219,9.1193,8.69,0.15,9.071940289269703,9.272066976769704
1172,2457673.412911546,16.379330812133222,5.228515681835457,0.1066128423630389,16.65329349970303,5.743915958488,6.156886000644691,8.8622,8.3,0.15,8.636484865511731,8.836611553011732
1172,2457659.0834796126,16.371101089707512,5.228515681835457,0.1066128423630389,16.65329349970303,5.746123456616,6.34507046277092,7.7382,8.3,0.15,8.562044079656138,8.762170767156137
1172,2457750.616342741,15.819331743085401,5.228515681835457,0.1066128423630389,16.65329349970303,5.728793722330001,5.01744135998155,7.4272,8.3,0.15,8.526604291577055,8.726730979077058
1172,2457751.7932061083,15.939694622028934,5.228515681835457,0.1066128423630389,16.65329349970303,5.7285213400230015,5.00427480129786,7.2919,8.3,0.15,8.652776194528048,8.852902882028049
1172,2457127.8176790955,16.49092013017389,5.228515681835457,0.1066128423630389,16.65329349970303,5.693732461733,6.1519717402326,8.7503,8.3,0.15,8.768863188222987,8.968989875722988
1172,2457753.294258479,16.741023687166088,5.228515681835457,0.1066128423630389,16.65329349970303,5.728172110819,4.98790639027129,7.1156,8.3,0.15,9.461351923151426,9.661478610651427
1172,2457887.626129331,16.36194742713966,5.228515681835457,0.1066128423630389,16.65329349970303,5.688804563521,5.76219766619327,10.2051,8.3,0.15,8.7839015959368,8.9840282834368
1172,2457507.604980102,16.492751913360788,5.228515681835457,0.1066128423630389,16.65329349970303,5.757822467893,6.03458498918483,9.5231,8.3,0.15,8.78822352238702,8.98835020988702
1172,2457076.009149112,16.34288465407893,5.228515681835457,0.1066128423630389,16.65329349970303,5.674976227422,5.32363267351897,9.7533,8.3,0.15,8.942024011783168,9.14215069928317
1172,2457709.562688256,16.594686275167525,5.228515681835457,0.1066128423630389,16.65329349970303,5.73751071566,5.60233470155072,10.0177,8.3,0.15,9.059223469806359,9.25935015730636
1172,2457750.792508369,15.930905564783448,5.228515681835457,0.1066128423630389,16.65329349970303,5.728753028778,5.01545211406346,7.4071,8.3,0.15,8.639054624155325,8.839181311655326
1172,2457751.2928019376,16.28148221118269,5.228515681835457,0.1066128423630389,16.65329349970303,5.728637310204,5.0098379194885885,7.3497,8.3,0.15,8.992107197175127,9.192233884675128
1172,2457127.7436192213,15.875193801717364,5.228515681835457,0.1066128423630389,16.65329349970303,5.693707296839,6.15092062201158,8.7559,8.3,0.15,8.153517503928072,8.353644191428073
1172,2457673.3390664626,15.804813550719926,5.228515681835457,0.1066128423630389,16.65329349970303,5.743927818257,6.157921236673441,8.8572,8.3,0.15,8.061598033797836,8.261724721297837
1172,2457750.8665186097,15.799623009484394,5.228515681835457,0.1066128423630389,16.65329349970303,5.72873592435,5.0146183099040185,7.3986,8.3,0.15,8.50813958317628,8.708266270676281
1172,2457276.53646396,15.841781121813725,5.228515681835457,0.1066128423630389,16.65329349970303,5.734512381717,6.22010958470633,8.5717,8.3,0.15,8.080308467505027,8.280435155005026
1172,2457753.118091478,17.105933173576624,5.228515681835457,0.1066128423630389,16.65329349970303,5.728213202486,4.98980232813985,7.1365,8.3,0.15,9.825420597405165,10.025547284905166
1172,2457752.793848204,15.93995964880215,5.228515681835457,0.1066128423630389,16.65329349970303,5.728288760338,4.9933094480032,7.1748,8.3,0.15,8.657892730565301,8.858019418065302
1172,2457752.0433800304,15.9126624668429,5.228515681835457,0.1066128423630389,16.65329349970303,5.7284632767120005,5.00151333696914,7.2628,8.3,0.15,8.626964644112956,8.827091331612959
1172,2457455.0438134917,16.268716436661446,5.228515681835457,0.1066128423630389,16.65329349970303,5.756882755497,5.228891589469031,8.8942,8.3,0.15,8.875731324567909,9.075858012067911
1172,2457751.042683607,15.883352945028813,5.228515681835457,0.1066128423630389,16.65329349970303,5.728695191153,5.01263818985642,7.3785,8.3,0.15,8.592742576314581,8.792869263814584
1172,2457328.84555647,16.540601866275367,5.228515681835457,0.1066128423630389,16.65329349970303,5.744120526887,5.4262372069844105,9.7677,8.3,0.15,9.071990271645417,9.272116959145418
1172,2457753.0440808195,15.81388234009436,5.228515681835457,0.1066128423630389,16.65329349970303,5.728230457419,4.99060085011886,7.1453,8.3,0.15,8.533015748238702,8.733142435738701
1172,2457751.3668679413,15.828276346614134,5.228515681835457,0.1066128423630389,16.65329349970303,5.728620159435001,5.00901119787964,7.3412,8.3,0.15,8.539266198859384,8.739392886359385
1172,2457480.788673601,16.510883914179516,5.228515681835457,0.1066128423630389,16.65329349970303,5.757665213722,5.61954995384257,10.0781,8.3,0.15,8.961144189937182,9.161270877437184
1172,2457752.617739015,15.785302476307187,5.228515681835457,0.1066128423630389,16.65329349970303,5.728329759,4.99522379697604,7.1956,8.3,0.15,8.502387670769497,8.702514358269497
1172,2457855.215387754,16.01227200220756,5.228515681835457,0.1066128423630389,16.65329349970303,5.699753220258,5.285697647984018,9.6459,8.3,0.15,8.617480153953057,8.817606841453056
