Name,Number,jd,umag,umag_err,gmag,gmag_err,rmag,rmag_err,imag,imag_err,zmag,zmag_err,Vmag,a_orb,e_orb,i_orb,Delta,R,Phase,H,G,umag_red,gmag_red,rmag_red,imag_red,zmag_red,V
Priamus,884,2453354.83621,18.54,0.03,17.07,0.02,16.47,0.01,16.27,0.02,16.12,0.02,16.72,5.198209973040978,0.1254323782900563,8.905419396707883,4.968,5.709,6.97,8.81,0.15,11.276291849123965,9.806291849123967,9.206291849123962,9.006291849123965,8.856291849123966,9.468291849123963
Telamon,1749,2452338.71709,17.9,0.02,16.5,0.02,15.88,0.02,15.71,0.02,15.53,0.02,16.14,5.141574387836829,0.1092495735303225,6.098603331612071,3.924,4.914,0.85,9.2,0.15,11.474179245740135,10.074179245740137,9.454179245740137,9.284179245740138,9.104179245740132,9.724912579073473
Telamon,1749,2452345.73247,18.08,0.03,16.61,0.02,16.03,0.01,15.78,0.01,15.65,0.02,16.26,5.141574387836829,0.1092495735303225,6.098603331612071,3.944,4.92,2.44,9.2,0.15,11.640489954817333,10.170489954817329,9.590489954817333,9.340489954817329,9.21048995481733,9.843756621483998
Deiphobus,1867,2453359.92836,17.83,0.02,16.33,0.02,15.75,0.01,15.5,0.01,15.35,0.02,15.99,5.134897475996963,0.04625424310504315,26.90100062788784,4.501,5.349,5.83,8.61,0.15,10.922091945832515,9.422091945832516,8.84209194583252,8.59209194583252,8.44209194583252,9.095358612499183
Deiphobus,1867,2453387.85355,17.34,0.02,15.94,0.01,15.29,0.01,15.11,0.02,14.96,0.02,15.56,5.134897475996963,0.04625424310504315,26.90100062788784,4.371,5.346,1.6,8.61,0.15,10.496951195449144,9.096951195449146,8.446951195449142,8.266951195449144,8.116951195449145,8.730784528782477
Glaukos,1870,2451819.85414,19.81,0.04,18.24,0.02,17.68,0.02,17.43,0.02,17.27,0.02,17.91,5.242545832394852,0.03387429299510998,6.577843902341481,4.163,5.153,1.84,10.5,0.15,13.152667233260741,11.582667233260741,11.02266723326074,10.77266723326074,10.61266723326074,11.267200566594074
Helenos,1872,2451467.83193,19.86,0.07,18.37,0.02,17.84,0.02,17.65,0.01,17.54,0.03,18.05,5.322608951622628,0.049677968907123234,14.640561276597538,4.269,5.088,6.99,11.2,0.15,13.175633712778478,11.68563371277848,11.155633712778478,10.965633712778478,10.855633712778477,11.387067046111813
Helenos,1872,2451464.74149,20.06,0.05,18.52,0.05,17.98,0.02,17.79,0.02,17.67,0.03,18.2,5.322608951622628,0.049677968907123234,14.640561276597538,4.239,5.087,6.49,11.2,0.15,13.391374229002118,11.851374229002122,11.311374229002125,11.121374229002123,11.001374229002122,11.547174229002126
Neoptolemus,2260,2452729.78473,18.58,0.02,17.1,0.02,16.51,0.02,16.25,0.02,16.06,0.02,16.75,5.199195973348791,0.04525903489452294,17.77529959020343,4.439,5.377999999999999,3.99,9.31,0.15,11.690470285436751,10.210470285436754,9.620470285436754,9.360470285436751,9.170470285436751,9.878103618770089
Phereclos,2357,2453405.69999,17.75,0.02,16.31,0.01,15.73,0.02,15.52,0.01,15.36,0.01,15.96,5.224733151233068,0.04740934473311128,2.66867573698612,4.324,5.303,1.32,8.94,0.15,10.947963438000825,9.507963438000822,8.927963438000821,8.717963438000822,8.557963438000822,9.181230104667488
Pandarus,2674,2453351.88714,18.55,0.02,17.07,0.02,16.47,0.01,16.21,0.01,16.03,0.03,16.72,5.197814672873434,0.0695403423289893,1.855121348127132,4.457,5.2120000000000015,7.51,9.0,0.15,11.719764794366386,10.239764794366382,9.639764794366382,9.379764794366382,9.199764794366383,9.901764794366382
Pandarus,2674,2453352.86648,18.7,0.02,17.22,0.01,16.6,0.01,16.35,0.02,16.2,0.02,16.86,5.197814672873434,0.0695403423289893,1.855121348127132,4.4460000000000015,5.2120000000000015,7.36,9.0,0.15,11.875130672982404,10.395130672982404,9.775130672982408,9.525130672982408,9.375130672982404,10.04586400631574
Pandarus,2674,2451819.85102,18.04,0.03,16.63,0.03,16.02,0.02,15.8,0.02,15.64,0.02,16.27,5.197814672873434,0.0695403423289893,1.855121348127132,4.457,5.444,1.9,9.0,0.15,11.115196246912632,9.705196246912633,9.095196246912634,8.875196246912633,8.715196246912633,9.3615629135793
Pandarus,2674,2453354.82369,18.78,0.02,17.3,0.01,16.7,0.02,16.43,0.01,16.31,0.02,16.94,5.197814672873434,0.0695403423289893,1.855121348127132,4.4239999999999995,5.211,7.06,9.0,0.15,11.966319042682985,10.486319042682986,9.886319042682985,9.616319042682983,9.496319042682984,10.148319042682983
Idomeneus,2759,2451081.96016,19.58,0.04,18.12,0.02,17.54,0.01,17.29,0.02,17.14,0.02,17.78,5.194923696757074,0.06503065635731009,21.93728156495057,4.795,5.336,9.57,9.8,0.15,12.539977837924125,11.079977837924128,10.499977837924122,10.249977837924122,10.099977837924126,10.753244504590793
Idomeneus,2759,2452756.80405,18.7,0.03,17.23,0.03,16.64,0.02,16.38,0.02,16.26,0.02,16.88,5.194923696757074,0.06503065635731009,21.93728156495057,3.907,4.85,4.64,9.8,0.15,12.312074250864761,10.84207425086476,10.25207425086476,9.992074250864759,9.87207425086476,10.509707584198091
Idomeneus,2759,2451960.79814,18.98,0.03,17.54,0.01,16.93,0.01,16.65,0.01,16.53,0.02,17.18,5.194923696757074,0.06503065635731009,21.93728156495057,4.053999999999999,4.926,5.97,9.8,0.15,12.478109240699627,11.038109240699628,10.428109240699627,10.148109240699627,10.028109240699633,10.694475907366293
Teucer,2797,2451081.90815,17.94,0.02,16.58,0.01,15.93,0.02,15.7,0.02,15.54,0.02,16.19,5.110373432911318,0.08877667152834956,22.385989362002306,4.249,5.025,7.89,8.4,0.15,11.292886014089794,9.932886014089792,9.282886014089797,9.052886014089797,8.892886014089795,9.566719347423128
Teucer,2797,2451075.92557,17.96,0.02,16.52,0.01,15.95,0.02,15.67,0.01,15.56,0.02,16.18,5.110373432911318,0.08877667152834956,22.385989362002306,4.316,5.029,8.71,8.4,0.15,11.277184641841,9.837184641841,9.267184641840998,8.987184641840997,8.877184641841,9.516084641841001
Teucer,2797,2452789.67745,18.02,0.03,16.56,0.02,16.04,0.02,15.76,0.02,15.65,0.03,16.25,5.110373432911318,0.08877667152834956,22.385989362002306,4.4,4.999,10.0,8.4,0.15,11.308320933806113,9.848320933806107,9.328320933806113,9.04832093380611,8.938320933806109,9.555387600472779
Laocoon,3240,2453354.83361,19.86,0.04,18.43,0.01,17.83,0.01,17.6,0.02,17.43,0.02,18.07,5.223342326724168,0.1282522821708217,2.336765510721522,5.1560000000000015,5.9060000000000015,6.62,10.0,0.15,12.441968243447876,11.011968243447877,10.411968243447873,10.181968243447876,10.011968243447877,10.673968243447877
